,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
95,5.7,3.0,4.2,1.2,1
139,6.9,3.1,5.4,2.1,2
76,6.8,2.8,4.8,1.4,1
32,5.2,4.1,1.5,0.1,0
101,5.8,2.7,5.1,1.9,2
13,4.3,3.0,1.1,0.1,0
24,4.8,3.4,1.9,0.2,0
59,5.2,2.7,3.9,1.4,1
45,4.8,3.0,1.4,0.3,0
34,4.9,3.1,1.5,0.2,0
131,7.9,3.8,6.4,2.0,2
93,5.0,2.3,3.3,1.0,1
47,4.6,3.2,1.4,0.2,0
116,6.5,3.0,5.5,1.8,2
9,4.9,3.1,1.5,0.1,0
119,6.0,2.2,5.0,1.5,2
90,5.5,2.6,4.4,1.2,1
14,5.8,4.0,1.2,0.2,0
16,5.4,3.9,1.3,0.4,0
111,6.4,2.7,5.3,1.9,2
85,6.0,3.4,4.5,1.6,1
89,5.5,2.5,4.0,1.3,1
33,5.5,4.2,1.4,0.2,0
29,4.7,3.2,1.6,0.2,0
120,6.9,3.2,5.7,2.3,2
78,6.0,2.9,4.5,1.5,1
91,6.1,3.0,4.6,1.4,1
3,4.6,3.1,1.5,0.2,0
55,5.7,2.8,4.5,1.3,1
138,6.0,3.0,4.8,1.8,2
67,5.8,2.7,4.1,1.0,1
11,4.8,3.4,1.6,0.2,0
62,6.0,2.2,4.0,1.0,1
137,6.4,3.1,5.5,1.8,2
108,6.7,2.5,5.8,1.8,2
100,6.3,3.3,6.0,2.5,2
143,6.8,3.2,5.9,2.3,2
18,5.7,3.8,1.7,0.3,0
19,5.1,3.8,1.5,0.3,0
83,6.0,2.7,5.1,1.6,1
122,7.7,2.8,6.7,2.0,2
38,4.4,3.0,1.3,0.2,0
68,6.2,2.2,4.5,1.5,1
2,4.7,3.2,1.3,0.2,0
31,5.4,3.4,1.5,0.4,0
140,6.7,3.1,5.6,2.4,2
51,6.4,3.2,4.5,1.5,1
105,7.6,3.0,6.6,2.1,2
36,5.5,3.5,1.3,0.2,0
110,6.5,3.2,5.1,2.0,2
4,5.0,3.6,1.4,0.2,0
141,6.9,3.1,5.1,2.3,2
0,5.1,3.5,1.4,0.2,0
58,6.6,2.9,4.6,1.3,1
5,5.4,3.9,1.7,0.4,0
103,6.3,2.9,5.6,1.8,2
129,7.2,3.0,5.8,1.6,2
41,4.5,2.3,1.3,0.3,0
106,4.9,2.5,4.5,1.7,2
121,5.6,2.8,4.9,2.0,2
125,7.2,3.2,6.0,1.8,2
86,6.7,3.1,4.7,1.5,1
30,4.8,3.1,1.6,0.2,0
65,6.7,3.1,4.4,1.4,1
44,5.1,3.8,1.9,0.4,0
27,5.2,3.5,1.5,0.2,0
80,5.5,2.4,3.8,1.1,1
113,5.7,2.5,5.0,2.0,2
7,5.0,3.4,1.5,0.2,0
112,6.8,3.0,5.5,2.1,2
8,4.4,2.9,1.4,0.2,0
73,6.1,2.8,4.7,1.2,1
144,6.7,3.3,5.7,2.5,2
118,7.7,2.6,6.9,2.3,2
99,5.7,2.8,4.1,1.3,1
